,MSE,R2
Linear Regression,16641234.970122578,0.6697721897456037
Random Forest,19648433.123109348,0.6100975043725043
XGBoost,27490350.25795448,0.45448290435719896
SVR,54458458.8297557,-0.08067085414436348
