,MSE,R2
Linear Regression,0.23300676557999392,0.7248456827544734
Random Forest,0.18754987207057194,0.7785250704175478
XGBoost,0.2112481736592612,0.7505400890489456
SVR,0.17548066217306968,0.792777425711927
